,Title,Date,Time,Score,Number of Comments
281,Trump privately signs anti-Planned Parenthood law,2017-04-13,22:56:02,1820,109
282,Donald Trump admits Xi Jinping gave him a history lesson on North Korea,2017-04-14,05:31:19,544,59
283,Howard Stern says press secretary Sean Spicer speaks fluent moron after Hitler comments,2017-04-14,14:39:01,101,5
284,Nunes wont hold town hall? Opponents schedule one anyway,2017-04-13,18:25:34,4437,200
285,Climate change is accelerating; join us to help reverse that,2017-04-14,17:14:47,57,2
286,"No Environmental Impact Study? No Border Wall, Lawsuit Says",2017-04-14,03:04:14,780,19
287,"CIA Director Pompeo denounces Wikileaks, forgets he used them to attack Hillary Clinton",2017-04-14,00:54:05,1145,80
288,Trump Is Now Threatening to Sabotage Millions of Insurance Plans,2017-04-14,04:56:41,553,28
289,Utah Brothers Put Up Billboards Demanding Jason Chaffetz Do His Job,2017-04-13,21:54:11,2005,78
290,OnPolitics Today: Trumps flipping on issues faster than we can keep up,2017-04-14,15:50:32,77,6
291,Thousands expected for Tax Day march,2017-04-14,07:57:51,313,18
292,Nancy Pelosi says Obamacare payments are not optional,2017-04-14,17:58:02,50,11
